>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20431 in the interval 19.9999, 20
      r      lvl-here  lvl-there   stepping
19.999857    +0.49447  +0.49447    0.000001
19.999857    +0.49447  +0.49447    0.000001
19.999858    +0.49447  +0.49447    0.000001
19.999859    +0.49447  +0.49447    0.000001
19.999860    +0.49447  +0.49447    0.000001
19.999860    +0.49447  +0.49447    0.000001
19.999861    +0.49447  +0.49447    0.000001
19.999862    +0.49447  +0.49447    0.000001
19.999862    +0.49447  +0.49447    0.000001
19.999863    +0.49447  +0.49447    0.000001
19.999864    +0.49447  +0.49447    0.000001
19.999865    +0.49447  +0.49447    0.000001
19.999865    +0.49447  +0.49447    0.000001
19.999866    +0.49447  +0.49447    0.000001
19.999867    +0.49447  +0.49447    0.000001
19.999867    +0.49447  +0.49447    0.000001
19.999868    +0.49447  +0.49447    0.000001
19.999869    +0.49447  +0.49447    0.000001
19.999870    +0.49447  +0.49447    0.000001
19.999870    +0.49447  +0.49447    0.000001
19.999871    +0.49447  +0.49447    0.000001
19.999872    +0.49447  +0.49447    0.000001
19.999873    +0.49447  +0.49447    0.000001
19.999873    +0.49447  +0.49447    0.000001
19.999874    +0.49447  +0.49447    0.000001
19.999875    +0.49447  +0.49447    0.000001
19.999875    +0.49447  +0.49447    0.000001
19.999876    +0.49447  +0.49447    0.000001
19.999877    +0.49447  +0.49447    0.000001
19.999878    +0.49447  +0.49447    0.000001
19.999878    +0.49447  +0.49447    0.000001
19.999879    +0.49447  +0.49447    0.000001
19.999880    +0.49447  +0.49447    0.000001
19.999880    +0.49447  +0.49447    0.000001
19.999881    +0.49447  +0.49447    0.000001
19.999882    +0.49447  +0.49447    0.000001
19.999883    +0.49447  +0.49447    0.000001
19.999883    +0.49447  +0.49447    0.000001
19.999884    +0.49447  +0.49447    0.000001
19.999885    +0.49447  +0.49447    0.000001
19.999885    +0.49447  +0.49447    0.000001
19.999886    +0.49447  +0.49447    0.000001
19.999887    +0.49447  +0.49447    0.000001
19.999888    +0.49447  +0.49447    0.000001
