>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20689.4 in the interval 20, 20
      r      lvl-here  lvl-there   stepping
19.999996    +0.49447  +0.49447    0.000000
Error: closed range without finding crossing.
Searching for crossing at nll = -20689.4 in the interval 20, -20
      r      lvl-here  lvl-there   stepping
19.799996    +0.49515  +0.49447    -0.200000
19.599996    +0.49547  +0.49515    -0.200000
19.399996    +0.49544  +0.49547    -0.200000
19.199996    +0.49532  +0.49544    -0.200000
18.999996    +0.49550  +0.49532    -0.200000
18.799996    +0.49522  +0.49550    -0.200000
18.599996    +0.49459  +0.49522    -0.200000
18.399996    +0.49361  +0.49459    -0.200000
18.199996    +0.49226  +0.49361    -0.200000
17.999996    +0.49202  +0.49226    -0.200000
17.799996    +0.49101  +0.49202    -0.200000
17.599996    +0.48963  +0.49101    -0.200000
17.399996    +0.48789  +0.48963    -0.200000
17.199996    +0.48579  +0.48789    -0.200000
16.999996    +0.48378  +0.48579    -0.200000
16.799996    +0.48238  +0.48378    -0.200000
16.599996    +0.48077  +0.48238    -0.200000
16.399996    +0.47879  +0.48077    -0.200000
16.199996    +0.47667  +0.47879    -0.200000
15.999996    +0.47660  +0.47667    -0.200000
15.799996    +0.47616  +0.47660    -0.200000
15.599996    +0.47537  +0.47616    -0.200000
15.399996    +0.47420  +0.47537    -0.200000
15.199996    +0.47312  +0.47420    -0.200000
14.999996    +0.47230  +0.47312    -0.200000
14.799996    +0.47112  +0.47230    -0.200000
14.599996    +0.46957  +0.47112    -0.200000
14.399996    +0.46765  +0.46957    -0.200000
14.199997    +0.46536  +0.46765    -0.200000
13.999997    +0.46271  +0.46536    -0.200000
13.799997    +0.45968  +0.46271    -0.200000
13.599997    +0.45628  +0.45968    -0.200000
13.399997    +0.45441  +0.45628    -0.200000
13.199997    +0.45121  +0.45441    -0.200000
12.999997    +0.44763  +0.45121    -0.200000
12.799997    +0.44368  +0.44763    -0.200000
12.599997    +0.43936  +0.44368    -0.200000
12.399997    +0.43605  +0.43936    -0.200000
12.199997    +0.43305  +0.43605    -0.200000
11.999997    +0.42967  +0.43305    -0.200000
11.799997    +0.42592  +0.42967    -0.200000
11.599997    +0.42179  +0.42592    -0.200000
11.399997    +0.41728  +0.42179    -0.200000
11.199997    +0.41239  +0.41728    -0.200000
10.999997    +0.40711  +0.41239    -0.200000
10.799997    +0.40145  +0.40711    -0.200000
10.599997    +0.39648  +0.40145    -0.200000
10.399997    +0.39209  +0.39648    -0.200000
10.199997    +0.38732  +0.39209    -0.200000
9.999997    +0.38216  +0.38732    -0.200000
9.799997    +0.37662  +0.38216    -0.200000
9.599997    +0.37278  +0.37662    -0.200000
9.399997    +0.36776  +0.37278    -0.200000
9.199997    +0.36236  +0.36776    -0.200000
8.999997    +0.35657  +0.36236    -0.200000
8.799997    +0.35038  +0.35657    -0.200000
8.599997    +0.34608  +0.35038    -0.200000
8.399997    +0.34206  +0.34608    -0.200000
8.199997    +0.33804  +0.34206    -0.200000
7.999997    +0.33412  +0.33804    -0.200000
7.799997    +0.32980  +0.33412    -0.200000
7.599997    +0.32509  +0.32980    -0.200000
7.399997    +0.31999  +0.32509    -0.200000
7.199997    +0.31450  +0.31999    -0.200000
6.999997    +0.30861  +0.31450    -0.200000
6.799997    +0.30232  +0.30861    -0.200000
6.599997    +0.29647  +0.30232    -0.200000
6.399998    +0.29146  +0.29647    -0.200000
6.199998    +0.28605  +0.29146    -0.200000
5.999998    +0.28024  +0.28605    -0.200000
5.799998    +0.27403  +0.28024    -0.200000
5.599998    +0.26743  +0.27403    -0.200000
5.399998    +0.26042  +0.26743    -0.200000
5.199998    +0.25300  +0.26042    -0.200000
4.999998    +0.24561  +0.25300    -0.200000
4.799998    +0.23906  +0.24561    -0.200000
4.599998    +0.23232  +0.23906    -0.200000
4.399998    +0.23148  +0.23232    -0.200000
4.199998    +0.22523  +0.23148    -0.200000
3.999998    +0.21858  +0.22523    -0.200000
3.799998    +0.21153  +0.21858    -0.200000
3.599998    +0.20407  +0.21153    -0.200000
3.399998    +0.19621  +0.20407    -0.200000
3.199998    +0.18793  +0.19621    -0.200000
2.999998    +0.18404  +0.18793    -0.200000
2.799998    +0.17713  +0.18404    -0.200000
2.599998    +0.16983  +0.17713    -0.200000
2.399998    +0.16256  +0.16983    -0.200000
2.199998    +0.15491  +0.16256    -0.200000
1.999998    +0.14684  +0.15491    -0.200000
1.799998    +0.13837  +0.14684    -0.200000
1.599998    +0.12948  +0.13837    -0.200000
1.399998    +0.12017  +0.12948    -0.200000
1.199998    +0.11045  +0.12017    -0.200000
0.999998    +0.10031  +0.11045    -0.200000
0.799998    +0.08976  +0.10031    -0.200000
0.599998    +0.08037  +0.08976    -0.200000
0.399998    +0.07183  +0.08037    -0.200000
0.199998    +0.06286  +0.07183    -0.200000
-0.000002    +0.05459  +0.06286    -0.200000
-0.200002    +0.04484  +0.05459    -0.200000
-0.400002    +0.03467  +0.04484    -0.200000
-0.600002    +0.02407  +0.03467    -0.200000
-0.800002    +0.01435  +0.02407    -0.200000
-1.000002    +0.00470  +0.01435    -0.200000
-1.200002    -0.00538  +0.00470    -0.200000
-1.060002    +0.00172  -0.00538    -0.060000
-1.120002    -0.00130  +0.00172    -0.060000
-1.078002    +0.00082  -0.00130    -0.018000
-1.096002    -0.00009  +0.00082    -0.018000

 --- MaxLikelihoodFit ---
Best fit r: 20  -21.0961/+4.24248e-06  (68% CL)
nll S+B -> -60.5958  nll B -> -61.9398
Done in 2.28 min (cpu), 2.29 min (real)
>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from expected outcome
Created Branches
Searching for crossing at nll = -25253 in the interval 0.0226897, 20
      r      lvl-here  lvl-there   stepping
0.122576    +0.49442  +0.49447    0.099887
0.222463    +0.49426  +0.49442    0.099887
0.322349    +0.49399  +0.49426    0.099887
0.422236    +0.49362  +0.49399    0.099887
0.522122    +0.49315  +0.49362    0.099887
0.622009    +0.49257  +0.49315    0.099887
0.721896    +0.49230  +0.49257    0.099887
0.821782    +0.49190  +0.49230    0.099887
0.921669    +0.49130  +0.49190    0.099887
1.021555    +0.49059  +0.49130    0.099887
1.121442    +0.48979  +0.49059    0.099887
1.221328    +0.48887  +0.48979    0.099887
1.321215    +0.48786  +0.48887    0.099887
1.421101    +0.48674  +0.48786    0.099887
1.520988    +0.48578  +0.48674    0.099887
1.620874    +0.48483  +0.48578    0.099887
1.720761    +0.48377  +0.48483    0.099887
1.820648    +0.48262  +0.48377    0.099887
1.920534    +0.48136  +0.48262    0.099887
2.020421    +0.48000  +0.48136    0.099887
2.120307    +0.47853  +0.48000    0.099887
2.220194    +0.47697  +0.47853    0.099887
2.320080    +0.47531  +0.47697    0.099887
2.419967    +0.47354  +0.47531    0.099887
2.519853    +0.47175  +0.47354    0.099887
2.619740    +0.47038  +0.47175    0.099887
2.719627    +0.46891  +0.47038    0.099887
2.819513    +0.46733  +0.46891    0.099887
2.919400    +0.46566  +0.46733    0.099887
3.019286    +0.46389  +0.46566    0.099887
3.119173    +0.46201  +0.46389    0.099887
3.219059    +0.46004  +0.46201    0.099887
3.318946    +0.45797  +0.46004    0.099887
3.418832    +0.45580  +0.45797    0.099887
3.518719    +0.45353  +0.45580    0.099887
3.618605    +0.45116  +0.45353    0.099887
3.718492    +0.45007  +0.45116    0.099887
3.818379    +0.44820  +0.45007    0.099887
3.918265    +0.44623  +0.44820    0.099887
4.018152    +0.44416  +0.44623    0.099887
4.118038    +0.44199  +0.44416    0.099887
4.217925    +0.43972  +0.44199    0.099887
4.317811    +0.43735  +0.43972    0.099887
