>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20622.5 in the interval 9.80906, 20
      r      lvl-here  lvl-there   stepping
9.860015    +0.49445  +0.49447    0.050955
9.910970    +0.49439  +0.49445    0.050955
9.961924    +0.49430  +0.49439    0.050955
10.012879    +0.49418  +0.49430    0.050955
10.063834    +0.49402  +0.49418    0.050955
10.114788    +0.49383  +0.49402    0.050955
10.165743    +0.49360  +0.49383    0.050955
10.216698    +0.49334  +0.49360    0.050955
10.267653    +0.49305  +0.49334    0.050955
10.318607    +0.49272  +0.49305    0.050955
10.369562    +0.49236  +0.49272    0.050955
10.420517    +0.49197  +0.49236    0.050955
10.471471    +0.49154  +0.49197    0.050955
10.522426    +0.49108  +0.49154    0.050955
10.573381    +0.49111  +0.49108    0.050955
10.624335    +0.49076  +0.49111    0.050955
10.675290    +0.49037  +0.49076    0.050955
10.726245    +0.48995  +0.49037    0.050955
10.777200    +0.48949  +0.48995    0.050955
10.828154    +0.48900  +0.48949    0.050955
10.879109    +0.48847  +0.48900    0.050955
10.930064    +0.48792  +0.48847    0.050955
10.981018    +0.48733  +0.48792    0.050955
11.031973    +0.48670  +0.48733    0.050955
11.082928    +0.48605  +0.48670    0.050955
11.133882    +0.48536  +0.48605    0.050955
11.184837    +0.48463  +0.48536    0.050955
11.235792    +0.48388  +0.48463    0.050955
11.286747    +0.48309  +0.48388    0.050955
11.337701    +0.48226  +0.48309    0.050955
11.388656    +0.48141  +0.48226    0.050955
11.439611    +0.48052  +0.48141    0.050955
11.490565    +0.47959  +0.48052    0.050955
11.541520    +0.47864  +0.47959    0.050955
11.592475    +0.47765  +0.47864    0.050955
11.643429    +0.47745  +0.47765    0.050955
11.694384    +0.47667  +0.47745    0.050955
11.745339    +0.47585  +0.47667    0.050955
11.796293    +0.47500  +0.47585    0.050955
11.847248    +0.47412  +0.47500    0.050955
11.898203    +0.47320  +0.47412    0.050955
11.949158    +0.47225  +0.47320    0.050955
12.000112    +0.47127  +0.47225    0.050955
12.051067    +0.47026  +0.47127    0.050955
12.102022    +0.46921  +0.47026    0.050955
12.152976    +0.46813  +0.46921    0.050955
12.203931    +0.46702  +0.46813    0.050955
12.254886    +0.46587  +0.46702    0.050955
12.305840    +0.46469  +0.46587    0.050955
12.356795    +0.46348  +0.46469    0.050955
12.407750    +0.46224  +0.46348    0.050955
12.458705    +0.46096  +0.46224    0.050955
12.509659    +0.45965  +0.46096    0.050955
12.560614    +0.45831  +0.45965    0.050955
12.611569    +0.45694  +0.45831    0.050955
12.662523    +0.45553  +0.45694    0.050955
12.713478    +0.45409  +0.45553    0.050955
12.764433    +0.45337  +0.45409    0.050955
12.815387    +0.45219  +0.45337    0.050955
12.866342    +0.45097  +0.45219    0.050955
12.917297    +0.44972  +0.45097    0.050955
12.968252    +0.44844  +0.44972    0.050955
13.019206    +0.44713  +0.44844    0.050955
13.070161    +0.44578  +0.44713    0.050955
13.121116    +0.44440  +0.44578    0.050955
13.172070    +0.44299  +0.44440    0.050955
13.223025    +0.44155  +0.44299    0.050955
13.273980    +0.44007  +0.44155    0.050955
13.324934    +0.43857  +0.44007    0.050955
13.375889    +0.43703  +0.43857    0.050955
13.426844    +0.43545  +0.43703    0.050955
13.477799    +0.43385  +0.43545    0.050955
13.528753    +0.43221  +0.43385    0.050955
13.579708    +0.43055  +0.43221    0.050955
13.630663    +0.42885  +0.43055    0.050955
13.681617    +0.42711  +0.42885    0.050955
13.732572    +0.42535  +0.42711    0.050955
13.783527    +0.42355  +0.42535    0.050955
13.834481    +0.42182  +0.42355    0.050955
13.885436    +0.42029  +0.42182    0.050955
13.936391    +0.41872  +0.42029    0.050955
13.987345    +0.41712  +0.41872    0.050955
14.038300    +0.41549  +0.41712    0.050955
14.089255    +0.41382  +0.41549    0.050955
14.140210    +0.41213  +0.41382    0.050955
14.191164    +0.41040  +0.41213    0.050955
14.242119    +0.40864  +0.41040    0.050955
14.293074    +0.40685  +0.40864    0.050955
14.344028    +0.40503  +0.40685    0.050955
14.394983    +0.40317  +0.40503    0.050955
14.445938    +0.40129  +0.40317    0.050955
14.496892    +0.39937  +0.40129    0.050955
14.547847    +0.39742  +0.39937    0.050955
14.598802    +0.39544  +0.39742    0.050955
14.649757    +0.39343  +0.39544    0.050955
14.700711    +0.39138  +0.39343    0.050955
14.751666    +0.38931  +0.39138    0.050955
14.802621    +0.38720  +0.38931    0.050955
14.853575    +0.38506  +0.38720    0.050955
14.904530    +0.38289  +0.38506    0.050955
14.955485    +0.38069  +0.38289    0.050955
15.006439    +0.37846  +0.38069    0.050955
15.057394    +0.37619  +0.37846    0.050955
15.108349    +0.37390  +0.37619    0.050955
15.159304    +0.37157  +0.37390    0.050955
15.210258    +0.36929  +0.37157    0.050955
15.261213    +0.36730  +0.36929    0.050955
15.312168    +0.36528  +0.36730    0.050955
15.363122    +0.36322  +0.36528    0.050955
15.414077    +0.36114  +0.36322    0.050955
15.465032    +0.35902  +0.36114    0.050955
15.515986    +0.35688  +0.35902    0.050955
15.566941    +0.35470  +0.35688    0.050955
15.617896    +0.35249  +0.35470    0.050955
15.668850    +0.35025  +0.35249    0.050955
15.719805    +0.34798  +0.35025    0.050955
15.770760    +0.34568  +0.34798    0.050955
15.821715    +0.34334  +0.34568    0.050955
15.872669    +0.34098  +0.34334    0.050955
15.923624    +0.33858  +0.34098    0.050955
15.974579    +0.33615  +0.33858    0.050955
16.025533    +0.33370  +0.33615    0.050955
