>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20984.4 in the interval -2.76895, 20
      r      lvl-here  lvl-there   stepping
-2.655102    +0.49434  +0.49447    0.113845
-2.541257    +0.49395  +0.49434    0.113845
-2.427412    +0.49331  +0.49395    0.113845
-2.313568    +0.49243  +0.49331    0.113845
-2.199723    +0.49145  +0.49243    0.113845
-2.085878    +0.49039  +0.49145    0.113845
-1.972034    +0.48909  +0.49039    0.113845
-1.858189    +0.48753  +0.48909    0.113845
-1.744344    +0.48573  +0.48753    0.113845
-1.630499    +0.48436  +0.48573    0.113845
-1.516655    +0.48294  +0.48436    0.113845
-1.402810    +0.48127  +0.48294    0.113845
-1.288965    +0.47936  +0.48127    0.113845
-1.175120    +0.47720  +0.47936    0.113845
-1.061276    +0.47664  +0.47720    0.113845
-0.947431    +0.47470  +0.47664    0.113845
-0.833586    +0.47252  +0.47470    0.113845
-0.719741    +0.47009  +0.47252    0.113845
-0.605897    +0.46742  +0.47009    0.113845
-0.492052    +0.46477  +0.46742    0.113845
-0.378207    +0.46241  +0.46477    0.113845
-0.264363    +0.45981  +0.46241    0.113845
-0.150518    +0.45696  +0.45981    0.113845
-0.036673    +0.45388  +0.45696    0.113845
0.077172    +0.45055  +0.45388    0.113845
0.191016    +0.44732  +0.45055    0.113845
0.304861    +0.44466  +0.44732    0.113845
0.418706    +0.44176  +0.44466    0.113845
0.532551    +0.43862  +0.44176    0.113845
0.646395    +0.43525  +0.43862    0.113845
0.760240    +0.43163  +0.43525    0.113845
0.874085    +0.42778  +0.43163    0.113845
0.987929    +0.42369  +0.42778    0.113845
1.101774    +0.42067  +0.42369    0.113845
1.215619    +0.41721  +0.42067    0.113845
1.329464    +0.41351  +0.41721    0.113845
1.443308    +0.40957  +0.41351    0.113845
1.557153    +0.40540  +0.40957    0.113845
1.670998    +0.40100  +0.40540    0.113845
1.784843    +0.39636  +0.40100    0.113845
1.898687    +0.39149  +0.39636    0.113845
2.012532    +0.38638  +0.39149    0.113845
2.126377    +0.38310  +0.38638    0.113845
2.240222    +0.37913  +0.38310    0.113845
2.354066    +0.37492  +0.37913    0.113845
2.467911    +0.37048  +0.37492    0.113845
2.581756    +0.36581  +0.37048    0.113845
2.695600    +0.36090  +0.36581    0.113845
2.809445    +0.35577  +0.36090    0.113845
2.923290    +0.35041  +0.35577    0.113845
3.037135    +0.34482  +0.35041    0.113845
3.150979    +0.33899  +0.34482    0.113845
3.264824    +0.33455  +0.33899    0.113845
3.378669    +0.33018  +0.33455    0.113845
3.492514    +0.32518  +0.33018    0.113845
3.606358    +0.31996  +0.32518    0.113845
3.720203    +0.31451  +0.31996    0.113845
3.834048    +0.30883  +0.31451    0.113845
3.947892    +0.30293  +0.30883    0.113845
4.061737    +0.29679  +0.30293    0.113845
4.175582    +0.29044  +0.29679    0.113845
4.289427    +0.28385  +0.29044    0.113845
4.403271    +0.27705  +0.28385    0.113845
4.517116    +0.27249  +0.27705    0.113845
4.630961    +0.26667  +0.27249    0.113845
4.744806    +0.26063  +0.26667    0.113845
4.858650    +0.25436  +0.26063    0.113845
4.972495    +0.24957  +0.25436    0.113845
5.086340    +0.24376  +0.24957    0.113845
5.200185    +0.23773  +0.24376    0.113845
5.314029    +0.23148  +0.23773    0.113845
5.427874    +0.22500  +0.23148    0.113845
5.541719    +0.21830  +0.22500    0.113845
5.655563    +0.21138  +0.21830    0.113845
5.769408    +0.20424  +0.21138    0.113845
5.883253    +0.19688  +0.20424    0.113845
5.997098    +0.18930  +0.19688    0.113845
6.110942    +0.18405  +0.18930    0.113845
6.224787    +0.17806  +0.18405    0.113845
6.338632    +0.17186  +0.17806    0.113845
6.452477    +0.16543  +0.17186    0.113845
6.566321    +0.15878  +0.16543    0.113845
6.680166    +0.15192  +0.15878    0.113845
6.794011    +0.14483  +0.15192    0.113845
6.907855    +0.13752  +0.14483    0.113845
7.021700    +0.13000  +0.13752    0.113845
7.135545    +0.12225  +0.13000    0.113845
7.249390    +0.11429  +0.12225    0.113845
7.363234    +0.10694  +0.11429    0.113845
7.477079    +0.10044  +0.10694    0.113845
7.590924    +0.09372  +0.10044    0.113845
7.704769    +0.08678  +0.09372    0.113845
7.818613    +0.07963  +0.08678    0.113845
7.932458    +0.07226  +0.07963    0.113845
8.046303    +0.06468  +0.07226    0.113845
8.160148    +0.05687  +0.06468    0.113845
8.273992    +0.04886  +0.05687    0.113845
8.387837    +0.04063  +0.04886    0.113845
8.501682    +0.03218  +0.04063    0.113845
8.615526    +0.02352  +0.03218    0.113845
8.729371    +0.01464  +0.02352    0.113845
8.843216    +0.00556  +0.01464    0.113845
8.957061    -0.00375  +0.00556    0.113845
8.877369    +0.00279  -0.00375    0.034153
8.911523    -0.00000  +0.00279    0.034153
Searching for crossing at nll = -20984.4 in the interval -2.76895, -20
      r      lvl-here  lvl-there   stepping
-2.855102    +0.49441  +0.49447    -0.086155
-2.941257    +0.49420  +0.49441    -0.086155
-3.027412    +0.49385  +0.49420    -0.086155
-3.113568    +0.49335  +0.49385    -0.086155
-3.199723    +0.49271  +0.49335    -0.086155
-3.285878    +0.49209  +0.49271    -0.086155
-3.372033    +0.49140  +0.49209    -0.086155
-3.458189    +0.49056  +0.49140    -0.086155
-3.544344    +0.48958  +0.49056    -0.086155
-3.630499    +0.48845  +0.48958    -0.086155
-3.716655    +0.48718  +0.48845    -0.086155
-3.802810    +0.48580  +0.48718    -0.086155
-3.888965    +0.48475  +0.48580    -0.086155
-3.975120    +0.48355  +0.48475    -0.086155
-4.061276    +0.48220  +0.48355    -0.086155
-4.147431    +0.48071  +0.48220    -0.086155
-4.233586    +0.47907  +0.48071    -0.086155
-4.319741    +0.47728  +0.47907    -0.086155
-4.405897    +0.47541  +0.47728    -0.086155
-4.492052    +0.47397  +0.47541    -0.086155
-4.578207    +0.47238  +0.47397    -0.086155
-4.664362    +0.47065  +0.47238    -0.086155
-4.750518    +0.46877  +0.47065    -0.086155
-4.836673    +0.46674  +0.46877    -0.086155
-4.922828    +0.46456  +0.46674    -0.086155
-5.008984    +0.46223  +0.46456    -0.086155
-5.095139    +0.45976  +0.46223    -0.086155
-5.181294    +0.45722  +0.45976    -0.086155
-5.267449    +0.45512  +0.45722    -0.086155
-5.353605    +0.45287  +0.45512    -0.086155
-5.439760    +0.45047  +0.45287    -0.086155
-5.525915    +0.44792  +0.45047    -0.086155
-5.612070    +0.44523  +0.44792    -0.086155
-5.698226    +0.44380  +0.44523    -0.086155
-5.784381    +0.44225  +0.44380    -0.086155
-5.870536    +0.44055  +0.44225    -0.086155
-5.956691    +0.43870  +0.44055    -0.086155
-6.042847    +0.43670  +0.43870    -0.086155
-6.129002    +0.43455  +0.43670    -0.086155
-6.215157    +0.43226  +0.43455    -0.086155
-6.301312    +0.42981  +0.43226    -0.086155
-6.387468    +0.42721  +0.42981    -0.086155
-6.473623    +0.42446  +0.42721    -0.086155
-6.559778    +0.42156  +0.42446    -0.086155
-6.645934    +0.41894  +0.42156    -0.086155
-6.732089    +0.41674  +0.41894    -0.086155
-6.818244    +0.41438  +0.41674    -0.086155
-6.904399    +0.41187  +0.41438    -0.086155
-6.990555    +0.40921  +0.41187    -0.086155
-7.076710    +0.40640  +0.40921    -0.086155
-7.162865    +0.40344  +0.40640    -0.086155
-7.249020    +0.40032  +0.40344    -0.086155
-7.335176    +0.39705  +0.40032    -0.086155
-7.421331    +0.39363  +0.39705    -0.086155
-7.507486    +0.39005  +0.39363    -0.086155
-7.593641    +0.38632  +0.39005    -0.086155
-7.679797    +0.38244  +0.38632    -0.086155
-7.765952    +0.37985  +0.38244    -0.086155
-7.852107    +0.37668  +0.37985    -0.086155
-7.938263    +0.37335  +0.37668    -0.086155
-8.024418    +0.36987  +0.37335    -0.086155
-8.110573    +0.36623  +0.36987    -0.086155
-8.196728    +0.36244  +0.36623    -0.086155
-8.282884    +0.35850  +0.36244    -0.086155
-8.369039    +0.35440  +0.35850    -0.086155
-8.455194    +0.35014  +0.35440    -0.086155
-8.541349    +0.34573  +0.35014    -0.086155
-8.627505    +0.34116  +0.34573    -0.086155
-8.713660    +0.33839  +0.34116    -0.086155
-8.799815    +0.33436  +0.33839    -0.086155
-8.885970    +0.33019  +0.33436    -0.086155
-8.972126    +0.32585  +0.33019    -0.086155
-9.058281    +0.32136  +0.32585    -0.086155
-9.144436    +0.31671  +0.32136    -0.086155
-9.230591    +0.31191  +0.31671    -0.086155
-9.316747    +0.30727  +0.31191    -0.086155
-9.402902    +0.30284  +0.30727    -0.086155
-9.489057    +0.29825  +0.30284    -0.086155
-9.575213    +0.29350  +0.29825    -0.086155
-9.661368    +0.28859  +0.29350    -0.086155
-9.747523    +0.28353  +0.28859    -0.086155
-9.833678    +0.27831  +0.28353    -0.086155
-9.919834    +0.27293  +0.27831    -0.086155
-10.005989    +0.26739  +0.27293    -0.086155
-10.092144    +0.26179  +0.26739    -0.086155
-10.178299    +0.25679  +0.26179    -0.086155
-10.264455    +0.25162  +0.25679    -0.086155
-10.350610    +0.24630  +0.25162    -0.086155
-10.436765    +0.24287  +0.24630    -0.086155
-10.522920    +0.23755  +0.24287    -0.086155
-10.609076    +0.23281  +0.23755    -0.086155
-10.695231    +0.22760  +0.23281    -0.086155
-10.781386    +0.22223  +0.22760    -0.086155
-10.867542    +0.21792  +0.22223    -0.086155
-10.953697    +0.21270  +0.21792    -0.086155
-11.039852    +0.20733  +0.21270    -0.086155
-11.126007    +0.20179  +0.20733    -0.086155
-11.212163    +0.19609  +0.20179    -0.086155
-11.298318    +0.19024  +0.19609    -0.086155
-11.384473    +0.18422  +0.19024    -0.086155
