cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
-3.0,0.8005,1.1093,1.6328,2.4984,3.7607,1.6702
-2.0,1.3154,1.8280,2.7266,4.2372,6.4859,2.3454
-1.5,1.9071,2.6239,3.8594,5.9054,8.8889,3.7198
-1.25,2.4513,3.3681,4.9219,7.4527,11.1804,5.5439
-1.0,2.8404,3.8804,5.7031,8.7266,13.1355,6.1224
-0.75,3.9985,5.5089,8.1562,12.4802,18.7855,8.7736
-0.5,4.8257,6.6487,9.8438,15.1408,22.9416,12.3558
-0.25,6.8939,9.4981,14.0625,21.6298,32.7737,13.4640
0.0,10.0404,13.9537,20.8125,32.1780,48.9481,19.3531
0.25,15.8665,21.9545,32.6250,50.1810,76.0350,34.9187
0.5,25.6147,35.2908,52.2500,81.1996,124.2905,43.9411
0.75,39.9215,56.2296,84.8125,132.4798,204.0099,140.7523
1.0,45.6492,63.4412,94.6250,147.0529,225.0907,112.0920
1.25,41.4431,57.9431,85.9062,131.4489,196.8456,72.4678
1.5,23.3372,32.4329,48.3750,74.0207,110.8465,68.1802
2.0,9.6049,13.2537,19.4375,29.5872,44.2316,17.8597
3.0,3.0029,4.1825,6.2500,9.5634,14.3212,6.2262
