cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
5000 ,1.6902,2.2871,3.2656,4.7886,6.7368,3.2828
7500 ,1.4166,1.9248,2.7578,4.0000,5.6619,2.7486
10000 ,1.2561,1.7067,2.4453,3.5467,5.0203,2.4375
15000 ,1.0392,1.4380,2.0703,3.0193,4.2607,2.0693
30000 ,0.7775,1.0964,1.5859,2.3129,3.2639,1.6425
50000 ,0.6351,0.9039,1.3164,1.9198,2.7092,1.3772
100000 ,0.4759,0.6946,1.0195,1.4950,2.1158,1.0878
150000 ,0.3983,0.5954,0.8789,1.2958,1.8175,0.9492
300000 ,0.2868,0.4551,0.6895,1.0110,1.4223,0.7536
1000000 ,0.1372,0.2868,0.4590,0.6804,0.9514,0.5244
3000000,0.0003,0.1954,0.3389,0.5131,0.7213,0.4085
