cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
5000 ,2.0155,2.7535,4.0469,6.1600,9.2570,4.1350
7500 ,1.7333,2.3581,3.4531,5.2700,7.9465,3.5535
10000 ,1.5568,2.1301,3.1016,4.7458,7.1435,3.1986
15000 ,1.3582,1.8439,2.6953,4.1027,6.1654,2.7842
30000 ,1.0789,1.4659,2.1328,3.2295,4.8448,2.2012
50000 ,0.9120,1.2375,1.7891,2.6947,4.0353,1.8539
100000 ,0.7163,0.9680,1.3945,2.0894,3.1061,1.4548
150000 ,0.6034,0.8209,1.1836,1.7733,2.6363,1.2418
300000 ,0.4560,0.6153,0.8945,1.3331,1.9670,0.9601
1000000 ,0.2800,0.3769,0.5410,0.7976,1.1585,0.5944
3000000,0.1774,0.2401,0.3428,0.5054,0.7298,0.3990
