cf,twosigdown,onesigdown,exp,onesigup,twosigup,obs
5000 ,2.0778,2.8385,4.1719,6.3836,9.6087,4.1657
7500 ,1.7821,2.4416,3.5781,5.5036,8.2971,3.5870
10000 ,1.6109,2.2007,3.2344,4.9491,7.4876,3.2273
15000 ,1.4023,1.9118,2.8047,4.2916,6.4929,2.8058
30000 ,1.1098,1.5098,2.2109,3.3654,5.0574,2.2053
50000 ,0.9366,1.2762,1.8516,2.8036,4.2059,1.8516
100000 ,0.7524,1.0168,1.4648,2.2064,3.2865,1.4642
150000 ,0.6511,0.8835,1.2773,1.9138,2.8451,1.2745
300000 ,0.5317,0.7214,1.0430,1.5543,2.3061,1.0407
1000000 ,0.4353,0.5738,0.8164,1.1972,1.7645,0.8128
3000000,0.3949,0.5159,0.7246,1.0625,1.5483,0.7228
