[?1034hname,s+b,fit,sb-pre,fit-pre
CMS_eff_lep,-0.07,0.99,+0.00,0.99
CMS_jer,+0.32,0.63,+0.00,0.96
CMS_jes,+0.12,0.80,-0.00,0.83
CMS_tHq_tt1b,+0.29,1.02,+0.00,0.96
CMS_tHq_tt2b,+0.23,1.03,+0.00,0.98
CMS_tHq_ttbb,+0.39,0.72,-0.00,0.71
CMS_tHq_ttcc,-0.06,0.90,+0.00,0.90
CSVCErr1,+1.04,0.66,+0.00,0.62
CSVCErr2,-0.15,1.00,+0.00,0.99
CSVHF,-0.49,1.15,-0.00,0.92
CSVHFStats1,+0.26,0.96,+0.00,0.95
CSVHFStats2,-0.01,0.99,+0.00,0.97
CSVLF,-0.15,0.92,-0.00,0.96
CSVLFStats1,+0.05,1.21,-0.00,0.96
CSVLFStats2,-0.24,1.31,+0.00,0.99
Q2scale_VV,+0.00,0.63,+0.00,0.96
Q2scale_Wj,+0.00,0.99,-0.00,0.98
Q2scale_tHW,+0.00,0.99,+0.00,0.99
Q2scale_tHq,-0.00,0.99,-0.00,0.99
Q2scale_tt1b,-0.14,1.01,+0.00,0.99
Q2scale_tt2b,-0.13,1.03,-0.00,0.99
Q2scale_ttH,-0.01,1.00,-0.00,0.99
Q2scale_ttW,+0.01,0.99,+0.00,0.99
Q2scale_ttbb,-0.18,0.94,+0.00,0.93
Q2scale_ttcc,-0.11,1.02,-0.00,0.97
Q2scale_ttlf,+0.50,0.93,+0.00,0.85
QCDscale_ST,+0.01,0.99,-0.00,0.99
lumi_13TeV,-0.10,0.99,+0.00,0.99
pdf_gg,-0.12,0.99,+0.00,0.99
pdf_qg,+0.01,0.99,+0.00,0.99
pdf_qqbar,-0.00,0.99,+0.00,0.99
pu,-0.13,0.91,+0.00,0.98
