[?1034hname,s+b,fit,sb-pre,fit-pre
CMS_eff_e,-0.05,0.93,+0.00,0.93
CMS_eff_m,+0.20,0.93,+0.00,0.92
CMS_res_j,-0.68,0.81,+0.00,1.02
CMS_scale0_j,+0.63,0.90,-0.00,0.95
CMS_scale10_j,+0.66,0.88,+0.00,0.97
CMS_scale11_j,+0.03,0.75,-0.00,0.99
CMS_scale12_j,-0.01,0.86,+0.00,0.99
CMS_scale13_j,+0.10,0.82,+0.00,0.98
CMS_scale14_j,+0.10,0.90,-0.00,0.99
CMS_scale15_j,-0.04,0.81,-0.00,0.99
CMS_scale16_j,+0.43,1.06,-0.00,0.98
CMS_scale1_j,+0.24,0.88,+0.00,0.98
CMS_scale2_j,+0.34,1.00,+0.00,0.98
CMS_scale3_j,+1.18,0.91,+0.00,0.94
CMS_scale4_j,+0.55,0.87,-0.00,0.93
CMS_scale5_j,+0.20,0.73,-0.00,0.97
CMS_scale6_j,+0.07,1.02,+0.00,0.99
CMS_scale7_j,+0.12,0.95,-0.00,0.99
CMS_scale8_j,-0.04,0.85,-0.00,0.99
CMS_scale9_j,+0.58,0.87,-0.00,0.94
CMS_tHq_eff_b,+0.62,0.83,-0.00,0.78
CMS_tHq_fake_b,-0.36,0.79,+0.00,0.89
CMS_tHq_met,-0.57,0.84,+0.01,0.92
CMS_tHq_pu,+0.18,0.95,-0.00,0.92
CMS_tHq_topPtcorr,-0.28,0.89,+0.00,0.91
CMS_tHq_tt1b,+0.72,0.97,-0.00,0.92
CMS_tHq_tt2b,+0.81,0.60,+0.00,0.65
CMS_tHq_ttc,+0.06,0.90,+0.01,0.85
Matching_tt1b,-0.83,0.66,-0.00,0.91
Matching_tt2b,+0.29,0.55,+0.00,0.91
Matching_ttcc,+0.25,1.17,-0.00,0.95
Matching_ttlf,-0.75,0.51,+0.00,0.74
Q2scale_tH,+0.03,1.07,+0.00,0.99
Q2scale_tt1b,-0.92,0.67,-0.00,0.95
Q2scale_tt2b,-0.15,0.55,-0.00,0.83
Q2scale_ttcc,-0.40,1.28,+0.00,0.89
Q2scale_ttlf,-0.67,0.66,+0.00,0.72
QCDscale_V,-0.01,0.99,-0.00,0.99
QCDscale_VV,+0.00,0.99,+0.00,0.99
QCDscale_ttH,-0.02,0.99,-0.00,0.99
QCDscale_ttbar,+0.24,0.98,-0.00,0.98
lumi_8TeV,+0.19,0.98,-0.00,0.98
pdf_gg,+0.19,0.98,-0.00,0.98
pdf_qg,+0.02,0.99,+0.00,0.99
pdf_qqbar,-0.03,0.99,-0.00,0.99
